Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,Avg_Store_Sales,Sales_Variation
18,2010-02-05,1205307.5,0,21.33,2.788,131.5279032,9.202,2010,2,5,1084718.421048951,0.0
3,2010-02-05,461622.22,0,45.71,2.572,214.4248812,7.368,2010,2,5,402704.44104895106,0.0
12,2010-02-05,1100046.37,0,49.47,2.962,126.4420645,13.975,2010,2,5,1009001.6094405595,0.0
29,2010-02-05,538634.46,0,24.36,2.788,131.5279032,10.064,2010,2,5,539451.4287412588,0.0
40,2010-02-05,1001943.8,0,14.48,2.788,131.5279032,5.892,2010,2,5,964128.0404895104,0.0
7,2010-02-05,496725.44,0,10.53,2.58,189.3816974,9.014,2010,2,5,570617.3086713287,0.0
14,2010-02-05,2623469.95,0,27.31,2.784,181.8711898,8.992,2010,2,5,2020978.4009790209,0.0
8,2010-02-12,994801.4,1,33.34,2.548,214.6214189,6.299,2010,2,6,908749.5183916084,-0.9297226537065661
15,2010-02-12,682447.1,1,22.0,2.94,131.5866129,8.35,2010,2,6,623312.474965035,4.650148214497873
43,2010-02-12,682918.99,1,47.99,2.548,203.2010968,9.521,2010,2,6,633324.7231468532,5.5468448043031415
5,2010-02-12,311825.7,1,39.81,2.548,211.8004698,6.566,2010,2,6,318011.8104895105,-1.6859563437126135
39,2010-02-12,1266229.07,1,44.58,2.548,209.9970208,8.554,2010,2,6,1450668.1291608391,2.8955276009168918
26,2010-02-12,1015684.09,1,18.14,2.771,131.5866129,8.488,2010,2,6,1002911.8446853146,-1.7826880906699372
34,2010-02-12,994610.99,1,36.13,2.573,126.4962581,9.521,2010,2,6,966781.5594405595,4.013895375015619
33,2010-02-12,294882.83,1,55.47,2.828,126.4962581,10.115,2010,2,6,259861.69202797202,7.388887636532315
7,2010-02-12,524104.92,1,25.9,2.572,189.4642725,9.014,2010,2,6,570617.3086713287,5.511994714826773
13,2010-02-12,2030933.46,1,33.16,2.671,126.4962581,8.316,2010,2,6,2003620.3062937064,3.2387284002165284
40,2010-02-12,955338.29,1,20.84,2.771,131.5866129,5.892,2010,2,6,964128.0404895104,-4.651509396035991
12,2010-02-12,1117863.33,1,47.87,2.946,126.4962581,13.975,2010,2,6,1009001.6094405595,1.6196553605281272
19,2010-02-12,1536549.95,1,23.22,2.94,131.5866129,8.35,2010,2,6,1444999.0356643356,1.9177545217991643
38,2010-02-12,342214.9,1,47.87,2.946,126.4962581,13.975,2010,2,6,385731.6532867133,-4.5415384388797
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,2010,2,6,1555264.3975524476,-0.10546143438525668
9,2010-02-12,552677.48,1,37.08,2.548,214.8056534,6.415,2010,2,6,543980.5523776223,0.5772334783515687
2,2010-02-12,2137809.5,1,38.49,2.548,210.8979935,8.324,2010,2,6,1925751.3355244757,0.03837360994751737
45,2010-02-12,656988.64,1,27.73,2.773,181.982317,8.992,2010,2,6,785981.4085314686,-26.238197191746426
20,2010-02-12,2109107.9,1,22.12,2.773,204.3857472,8.187,2010,2,6,2107676.8703496503,-12.171571640384593
27,2010-02-12,1745362.72,1,29.81,2.94,135.4113076,8.237,2010,2,6,1775216.2019580419,-6.878715910841093
4,2010-02-12,2188307.39,1,28.84,2.573,126.4962581,8.623,2010,2,6,2094712.9606993007,2.489926826336064
29,2010-02-12,529672.95,1,28.14,2.771,131.5866129,10.064,2010,2,6,539451.4287412588,-1.663746133138233
31,2010-02-12,1543947.23,1,37.77,2.548,210.8979935,8.324,2010,2,6,1395901.437062937,5.083891494315074
18,2010-02-12,1187880.7,1,26.41,2.771,131.5866129,9.202,2010,2,6,1084718.421048951,-1.4458385100897475
16,2010-02-12,472044.28,1,20.87,2.572,189.4642725,7.039,2010,2,6,519247.7300699301,-1.1237778568620183
11,2010-02-12,1574684.08,1,48.01,2.548,214.5747916,7.368,2010,2,6,1356383.1244755245,3.0546581202577583
36,2010-02-12,469563.7,1,46.11,2.539,209.9970208,8.554,2010,2,6,373511.9927972028,0.43139216412888537
42,2010-02-12,575709.96,1,49.96,2.828,126.4962581,9.765,2010,2,6,556403.863146853,5.949006486223252
14,2010-02-12,1704218.84,1,27.73,2.773,181.982317,8.992,2010,2,6,2020978.4009790209,-35.03951360296694
21,2010-02-12,809321.44,1,37.77,2.548,210.8979935,8.324,2010,2,6,756069.0833566433,1.3433060618996961
32,2010-02-12,1123566.12,1,28.09,2.572,189.4642725,9.014,2010,2,6,1166568.154965035,3.305387537491522
37,2010-02-12,529852.7,1,46.11,2.548,209.9970208,8.554,2010,2,6,518900.2819580419,-1.1481255095435183
41,2010-02-12,1075656.34,1,23.04,2.572,189.4642725,7.541,2010,2,6,1268125.418811189,-1.0010591669183833
25,2010-02-12,583364.02,1,19.64,2.773,204.3857472,8.187,2010,2,6,706721.5326573426,-13.860488175958352
17,2010-02-12,841951.91,1,18.36,2.671,126.4962581,6.548,2010,2,6,893581.3904195804,6.706397256743735
22,2010-02-12,1022571.25,1,28.14,2.771,135.4113076,8.283,2010,2,6,1028501.0389510489,-1.0112240416635054
28,2010-02-12,1558968.49,1,47.87,2.946,126.4962581,13.975,2010,2,6,1323522.241818182,-6.779899228050812
6,2010-02-12,1606283.86,1,40.57,2.548,212.7700425,7.259,2010,2,6,1564728.1862937063,-2.8046868906511757
3,2010-02-12,420728.96,1,47.93,2.548,214.5747916,7.368,2010,2,6,402704.44104895106,-8.858598704369115
23,2010-02-12,1380892.08,1,18.75,2.771,131.5866129,5.892,2010,2,6,1389864.4604895106,1.1848936982443048
10,2010-02-12,2176028.52,1,49.96,2.828,126.4962581,9.765,2010,2,6,1899424.5726573425,-0.7760990265264223
30,2010-02-12,497374.57,1,37.77,2.548,210.8979935,8.324,2010,2,6,438579.6162237762,6.937316478313482
24,2010-02-12,1414107.1,1,25.94,2.94,131.5866129,8.326,2010,2,6,1356755.3935664336,1.8276806772839826
44,2010-02-12,286857.13,1,33.16,2.671,126.4962581,8.119,2010,2,6,302748.86601398606,2.051357398735165
35,2010-02-12,1168815.31,1,29.81,2.773,135.4113076,9.262,2010,2,6,919724.9795804196,-5.021738344329874
45,2010-02-19,841264.04,0,31.27,2.745,182.0347816,8.992,2010,2,7,785981.4085314686,28.04849106675573
29,2010-02-19,542399.07,0,31.96,2.747,131.637,10.064,2010,2,7,539451.4287412588,2.402637325542112
41,2010-02-19,1052034.74,0,24.13,2.55,189.5340998,7.541,2010,2,7,1268125.418811189,-2.1960173636869973
27,2010-02-19,1945070.33,0,32.44,2.909,135.4657781,8.237,2010,2,7,1775216.2019580419,11.442183777134884
42,2010-02-19,508794.87,0,58.22,2.915,126.5262857,9.765,2010,2,7,556403.863146853,-11.623055817898297
21,2010-02-19,867283.25,0,39.75,2.514,210.9451605,8.324,2010,2,7,756069.0833566433,7.161778637669602
36,2010-02-19,470281.03,0,45.66,2.472,210.0451024,8.554,2010,2,7,373511.9927972028,0.15276521588019065
17,2010-02-19,800714.0,0,25.06,2.654,126.5262857,6.548,2010,2,7,893581.3904195804,-4.897893752625382
18,2010-02-19,1150663.42,0,30.91,2.747,131.637,9.202,2010,2,7,1084718.421048951,-3.1330823036353705
10,2010-02-19,2113432.58,0,58.22,2.915,126.5262857,9.765,2010,2,7,1899424.5726573425,-2.876613951732576
16,2010-02-19,469868.7,0,21.13,2.55,189.5340998,7.039,2010,2,7,519247.7300699301,-0.460884728864841
44,2010-02-19,267956.3,0,35.7,2.654,126.5262857,8.119,2010,2,7,302748.86601398606,-6.588935056276979
37,2010-02-19,510382.5,0,45.66,2.514,210.0451024,8.554,2010,2,7,518900.2819580419,-3.6746439151862265
4,2010-02-19,2049860.26,0,36.45,2.54,126.5262857,8.623,2010,2,7,2094712.9606993007,-6.326676527834607
31,2010-02-19,1473386.75,0,39.75,2.514,210.9451605,8.324,2010,2,7,1395901.437062937,-4.570135470238834
11,2010-02-19,1503298.7,0,48.3,2.514,214.6198868,7.368,2010,2,7,1356383.1244755245,-4.533314390274401
12,2010-02-19,1095421.65,0,54.83,2.915,126.5262857,13.975,2010,2,7,1009001.6094405595,-2.007551316671252
14,2010-02-19,2204556.7,0,31.27,2.745,182.0347816,8.992,2010,2,7,2020978.4009790209,29.358780002690278
38,2010-02-19,327237.92,0,54.83,2.915,126.5262857,13.975,2010,2,7,385731.6532867133,-4.376483899444484
25,2010-02-19,676260.67,0,24.16,2.745,204.4321004,8.187,2010,2,7,706721.5326573426,15.924302290703496
43,2010-02-19,658997.55,0,48.77,2.514,203.2479796,9.521,2010,2,7,633324.7231468532,-3.502822494363489
7,2010-02-19,506760.54,0,27.28,2.55,189.5340998,9.014,2010,2,7,570617.3086713287,-3.309333558631733
24,2010-02-19,1385362.49,0,31.05,2.909,131.637,8.326,2010,2,7,1356755.3935664336,-2.032703887845555
19,2010-02-19,1515976.11,0,28.57,2.909,131.637,8.35,2010,2,7,1444999.0356643356,-1.3389633054232908
26,2010-02-19,999348.55,0,22.62,2.747,131.637,8.488,2010,2,7,1002911.8446853146,-1.608328825944283
35,2010-02-19,1270658.64,0,32.44,2.745,135.4657781,9.262,2010,2,7,919724.9795804196,8.713380901897994
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,2010,2,7,1555264.3975524476,-1.8264340639669752
39,2010-02-19,1230591.97,0,43.96,2.514,210.0451024,8.554,2010,2,7,1450668.1291608391,-2.8144275664118257
23,2010-02-19,1319588.04,0,26.7,2.747,131.637,5.892,2010,2,7,1389864.4604895106,-4.439451922991699
3,2010-02-19,421642.19,0,47.07,2.514,214.6198868,7.368,2010,2,7,402704.44104895106,0.21705898258108647
9,2010-02-19,511327.9,0,43.06,2.514,214.8506185,6.415,2010,2,7,543980.5523776223,-7.481683530872285
8,2010-02-19,963960.37,0,39.1,2.514,214.6664878,6.299,2010,2,7,908749.5183916084,-3.1002198026661376
30,2010-02-19,463513.26,0,39.75,2.514,210.9451605,8.324,2010,2,7,438579.6162237762,-6.808009906899748
32,2010-02-19,1082559.06,0,29.16,2.55,189.5340998,9.014,2010,2,7,1166568.154965035,-3.649723791956283
33,2010-02-19,296850.83,0,62.16,2.915,126.5262857,10.115,2010,2,7,259861.69202797202,0.6673837198320376
28,2010-02-19,1491300.42,0,54.83,2.915,126.5262857,13.975,2010,2,7,1323522.241818182,-4.340566883426877
15,2010-02-19,660838.75,0,27.54,2.909,131.637,8.35,2010,2,7,623312.474965035,-3.1663040256160513
5,2010-02-19,303447.57,0,41.14,2.514,211.8471283,6.566,2010,2,7,318011.8104895105,-2.6867990675560116
22,2010-02-19,988467.61,0,31.96,2.747,135.4657781,8.283,2010,2,7,1028501.0389510489,-3.335086919371144
2,2010-02-19,2124451.54,0,39.69,2.514,210.9451605,8.324,2010,2,7,1925751.3355244757,-0.624843326779112
34,2010-02-19,983963.07,0,38.36,2.54,126.5262857,9.521,2010,2,7,966781.5594405595,-1.0705612653646668
6,2010-02-19,1567138.07,0,43.58,2.514,212.8161546,7.259,2010,2,7,1564728.1862937063,-2.437040611240404
13,2010-02-19,1970274.64,0,35.7,2.654,126.5262857,8.316,2010,2,7,2003620.3062937064,-2.9867458089936627
40,2010-02-19,916289.2,0,27.84,2.747,131.637,5.892,2010,2,7,964128.0404895104,-4.08746204446595
20,2010-02-19,2161549.76,0,25.43,2.745,204.4321004,8.187,2010,2,7,2107676.8703496503,2.4864474690934335
44,2010-02-26,273079.07,0,29.98,2.667,126.5522857,8.119,2010,2,8,302748.86601398606,1.9117930796924698
3,2010-02-26,407204.86,0,52.05,2.561,214.6475127,7.368,2010,2,8,402704.44104895106,-3.424071485825464
9,2010-02-26,473773.27,0,43.83,2.561,214.8780453,6.415,2010,2,8,543980.5523776223,-7.344529801718236
36,2010-02-26,447519.44,0,50.87,2.52,210.0771885,8.554,2010,2,8,373511.9927972028,-4.839997479804792
14,2010-02-26,2095591.63,0,34.89,2.754,182.0774691,8.992,2010,2,8,2020978.4009790209,-4.942720230330222
10,2010-02-26,2006774.96,0,52.77,2.825,126.5522857,9.765,2010,2,8,1899424.5726573425,-5.046653534601997
11,2010-02-26,1336404.65,0,52.79,2.561,214.6475127,7.368,2010,2,8,1356383.1244755245,-11.101855539421413
37,2010-02-26,513615.82,0,50.87,2.561,210.0771885,8.554,2010,2,8,518900.2819580419,0.6335091818391092
25,2010-02-26,628516.57,0,29.16,2.754,204.4630869,8.187,2010,2,8,706721.5326573426,-7.060014298924122
43,2010-02-26,618702.79,0,48.77,2.561,203.2798724,9.521,2010,2,8,633324.7231468532,-6.114553840147052
15,2010-02-26,564883.2,0,29.87,2.91,131.686,8.35,2010,2,8,623312.474965035,-14.520266857837871
22,2010-02-26,899761.48,0,35.98,2.753,135.5195191,8.283,2010,2,8,1028501.0389510489,-8.974105889013394
21,2010-02-26,749597.24,0,45.31,2.561,210.9759573,8.324,2010,2,8,756069.0833566433,-13.5695010828354
32,2010-02-26,1053247.1,0,26.64,2.586,189.6018023,9.014,2010,2,8,1166568.154965035,-2.7076545828363385
26,2010-02-26,855385.01,0,27.32,2.753,131.686,8.488,2010,2,8,1002911.8446853146,-14.40573861842297
33,2010-02-26,284052.77,0,56.5,2.825,126.5522857,10.115,2010,2,8,259861.69202797202,-4.311276475123882
4,2010-02-26,1925728.84,0,41.36,2.59,126.5522857,8.623,2010,2,8,2094712.9606993007,-6.055604004928606
38,2010-02-26,334222.73,0,50.23,2.825,126.5522857,13.975,2010,2,8,385731.6532867133,2.1344745132226617
31,2010-02-26,1344354.41,0,45.31,2.561,210.9759573,8.324,2010,2,8,1395901.437062937,-8.757533621094405
40,2010-02-26,863917.41,0,33.32,2.753,131.686,5.892,2010,2,8,964128.0404895104,-5.715639778358184
13,2010-02-26,1817850.32,0,29.98,2.667,126.5522857,8.316,2010,2,8,2003620.3062937064,-7.7361966147013845
34,2010-02-26,905756.13,0,37.28,2.59,126.5522857,9.521,2010,2,8,966781.5594405595,-7.948158054346488
5,2010-02-26,270281.63,0,46.7,2.561,211.8771468,6.566,2010,2,8,318011.8104895105,-10.929710196723608
8,2010-02-26,847592.11,0,37.91,2.561,214.6940735,6.299,2010,2,8,908749.5183916084,-12.071892540561603
39,2010-02-26,1168582.02,0,49.79,2.561,210.0771885,8.554,2010,2,8,1450668.1291608391,-5.039034181248558
6,2010-02-26,1432953.21,0,47.1,2.561,212.845337,7.259,2010,2,8,1564728.1862937063,-8.562414669691487
19,2010-02-26,1373270.06,0,30.33,2.91,131.686,8.35,2010,2,8,1444999.0356643356,-9.413476179383862
24,2010-02-26,1158722.74,0,33.98,2.91,131.686,8.326,2010,2,8,1356755.3935664336,-16.35959914000559
23,2010-02-26,1198709.65,0,32.68,2.753,131.686,5.892,2010,2,8,1389864.4604895106,-9.160312638177604
28,2010-02-26,1542173.33,0,50.23,2.825,126.5522857,13.975,2010,2,8,1323522.241818182,3.4113119876946207
12,2010-02-26,1048617.17,0,50.23,2.825,126.5522857,13.975,2010,2,8,1009001.6094405595,-4.272736438977631
35,2010-02-26,1020651.74,0,36.0,2.754,135.5195191,9.262,2010,2,8,919724.9795804196,-19.675378746883577
30,2010-02-26,472330.71,0,45.31,2.561,210.9759573,8.324,2010,2,8,438579.6162237762,1.9023080375305756
17,2010-02-26,749549.55,0,15.64,2.667,126.5522857,6.548,2010,2,8,893581.3904195804,-6.389853305924453
7,2010-02-26,496083.24,0,24.91,2.586,189.6018023,9.014,2010,2,8,570617.3086713287,-2.106971470193786
42,2010-02-26,491510.58,0,52.77,2.825,126.5522857,9.765,2010,2,8,556403.863146853,-3.397103826931269
16,2010-02-26,443242.17,0,18.12,2.586,189.6018023,7.039,2010,2,8,519247.7300699301,-5.666802236454571
41,2010-02-26,991941.73,0,21.84,2.586,189.6018023,7.541,2010,2,8,1268125.418811189,-5.712074679206891
20,2010-02-26,1898193.95,0,32.32,2.754,204.4630869,8.187,2010,2,8,2107676.8703496503,-12.18365706279183
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,2010,2,8,1555264.3975524476,-12.54618942010498
27,2010-02-26,1390934.27,0,36.0,2.91,135.5195191,8.237,2010,2,8,1775216.2019580419,-28.489255707273063
18,2010-02-26,1068157.45,0,35.42,2.753,131.686,9.202,2010,2,8,1084718.421048951,-7.1702957238355625
29,2010-02-26,488417.61,0,35.98,2.753,131.686,10.064,2010,2,8,539451.4287412588,-9.952351135115322
45,2010-02-26,741891.65,0,34.89,2.754,182.0774691,8.992,2010,2,8,785981.4085314686,-11.812271210356261
2,2010-02-26,1865097.27,0,46.1,2.561,210.9759573,8.324,2010,2,8,1925751.3355244757,-12.208057708861652
14,2010-03-05,2237544.75,0,37.13,2.777,182.1201566,8.992,2010,3,9,2020978.4009790209,6.773892296945294
24,2010-03-05,1412387.37,0,36.73,2.919,131.735,8.326,2010,3,9,1356755.3935664336,21.89174521594357
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,2010,3,9,1555264.3975524476,10.29128542486708
9,2010-03-05,507297.88,0,48.43,2.625,214.9054721,6.415,2010,3,9,543980.5523776223,7.076087260051622
22,2010-03-05,1009201.24,0,36.82,2.766,135.5732602,8.283,2010,3,9,1028501.0389510489,12.163196850792058
23,2010-03-05,1311175.93,0,33.15,2.766,131.735,5.892,2010,3,9,1389864.4604895106,9.382278686085499
28,2010-03-05,1608435.45,0,53.77,2.987,126.5782857,13.975,2010,3,9,1323522.241818182,4.2966713735089535
2,2010-03-05,1991013.13,0,47.17,2.625,211.0067542,8.324,2010,3,9,1925751.3355244757,6.751168532888352
31,2010-03-05,1384870.51,0,48.61,2.625,211.0067542,8.324,2010,3,9,1395901.437062937,3.01379604207197
38,2010-03-05,372239.89,0,53.77,2.987,126.5782857,13.975,2010,3,9,385731.6532867133,11.37479787804978
20,2010-03-05,2119213.72,0,31.75,2.777,204.4940734,8.187,2010,3,9,2107676.8703496503,11.64368741139441
25,2010-03-05,665750.06,0,29.45,2.777,204.4940734,8.187,2010,3,9,706721.5326573426,5.924026792165571
21,2010-03-05,747444.32,0,48.61,2.625,211.0067542,8.324,2010,3,9,756069.0833566433,-0.2872102357260653
35,2010-03-05,1162610.27,0,38.07,2.777,135.5732602,9.262,2010,3,9,919724.9795804196,13.908615881064401
3,2010-03-05,415202.04,0,53.04,2.625,214.6751386,7.368,2010,3,9,402704.44104895106,1.9639205681386107
37,2010-03-05,519255.68,0,51.33,2.625,210.1092746,8.554,2010,3,9,518900.2819580419,1.0980697596113753
17,2010-03-05,783300.05,0,31.58,2.681,126.5782857,6.548,2010,3,9,893581.3904195804,4.50277103094785
7,2010-03-05,491419.55,0,35.86,2.62,189.6695049,9.014,2010,3,9,570617.3086713287,-0.94010231024938
10,2010-03-05,1987090.09,0,55.92,2.877,126.5782857,9.765,2010,3,9,1899424.5726573425,-0.9809206509134416
30,2010-03-05,472591.07,0,48.61,2.625,211.0067542,8.324,2010,3,9,438579.6162237762,0.055122395069329144
12,2010-03-05,1077018.27,0,53.77,2.987,126.5782857,13.975,2010,3,9,1009001.6094405595,2.7084336221578464
4,2010-03-05,1971057.44,0,43.49,2.654,126.5782857,8.623,2010,3,9,2094712.9606993007,2.353841260434142
39,2010-03-05,1266254.21,0,50.93,2.625,210.1092746,8.554,2010,3,9,1450668.1291608391,8.358180113022783
16,2010-03-05,444181.85,0,27.92,2.62,189.6695049,7.039,2010,3,9,519247.7300699301,0.21200148893774085
18,2010-03-05,1179738.5,0,37.17,2.766,131.735,9.202,2010,3,9,1084718.421048951,10.446123836893161
42,2010-03-05,554972.42,0,55.92,2.877,126.5782857,9.765,2010,3,9,556403.863146853,12.911591852203873
11,2010-03-05,1426622.65,0,53.96,2.625,214.6751386,7.368,2010,3,9,1356383.1244755245,6.750799617466163
36,2010-03-05,480203.43,0,51.33,2.574,210.1092746,8.554,2010,3,9,373511.9927972028,7.303367648118253
13,2010-03-05,1939980.43,0,40.65,2.681,126.5782857,8.316,2010,3,9,2003620.3062937064,6.7183809720923415
43,2010-03-05,658600.05,0,52.89,2.625,203.3117653,9.521,2010,3,9,633324.7231468532,6.448534036835363
29,2010-03-05,535087.91,0,36.82,2.766,131.735,10.064,2010,3,9,539451.4287412588,9.555408946045185
44,2010-03-05,284617.27,0,40.65,2.681,126.5782857,8.119,2010,3,9,302748.86601398606,4.225223119443022
15,2010-03-05,605325.43,0,31.79,2.919,131.735,8.35,2010,3,9,623312.474965035,7.159396845223953
40,2010-03-05,990152.28,0,34.78,2.766,131.735,5.892,2010,3,9,964128.0404895104,14.611914118040525
27,2010-03-05,1313729.72,0,38.07,2.919,135.5732602,8.237,2010,3,9,1775216.2019580419,-5.550553442040074
5,2010-03-05,288855.71,0,48.89,2.625,211.9071653,6.566,2010,3,9,318011.8104895105,6.87212075789243
41,2010-03-05,1063557.49,0,32.49,2.62,189.6695049,7.541,2010,3,9,1268125.418811189,7.219754732972072
8,2010-03-05,881503.95,0,45.64,2.625,214.7216592,6.299,2010,3,9,908749.5183916084,4.000962208107395
45,2010-03-05,777951.22,0,37.13,2.777,182.1201566,8.992,2010,3,9,785981.4085314686,4.8604900729102285
32,2010-03-05,1066566.74,0,37.72,2.62,189.6695049,9.014,2010,3,9,1166568.154965035,1.2646263160847937
33,2010-03-05,291484.89,0,59.17,2.877,126.5782857,10.115,2010,3,9,259861.69202797202,2.616457498372582
6,2010-03-05,1601348.82,0,49.63,2.625,212.8745193,7.259,2010,3,9,1564728.1862937063,11.751647494477524
26,2010-03-05,1005669.58,0,28.6,2.766,131.735,8.488,2010,3,9,1002911.8446853146,17.56923119333129
34,2010-03-05,918295.79,0,42.65,2.654,126.5782857,9.521,2010,3,9,966781.5594405595,1.3844410857037248
19,2010-03-05,1495844.57,0,32.92,2.919,131.735,8.35,2010,3,9,1444999.0356643356,8.92573963201382
40,2010-03-12,899352.4,0,35.1,2.805,131.784,5.892,2010,3,10,964128.0404895104,-9.170294492479481
6,2010-03-12,1558621.36,0,58.82,2.667,212.9037017,7.259,2010,3,10,1564728.1862937063,-2.6682169097923314
3,2010-03-12,384200.69,0,63.08,2.667,214.7027646,7.368,2010,3,10,402704.44104895106,-7.46656976926221
10,2010-03-12,1941346.13,0,52.33,3.034,126.6042857,9.765,2010,3,10,1899424.5726573425,-2.302057678723579
18,2010-03-12,1138800.32,0,42.39,2.805,131.784,9.202,2010,3,10,1084718.421048951,-3.4701062989806575
38,2010-03-12,342023.92,0,50.11,2.925,126.6042857,13.975,2010,3,10,385731.6532867133,-8.117337988682516
7,2010-03-12,480452.1,0,27.25,2.684,189.7372075,9.014,2010,3,10,570617.3086713287,-2.2317895167174417
20,2010-03-12,2010974.84,0,43.82,2.818,204.5250598,8.187,2010,3,10,2107676.8703496503,-5.10750185214921
9,2010-03-12,494145.8,0,55.76,2.667,214.932899,6.415,2010,3,10,543980.5523776223,-2.59257539179939
4,2010-03-12,1894324.09,0,49.63,2.704,126.6042857,8.623,2010,3,10,2094712.9606993007,-3.8930042546096444
27,2010-03-12,1925113.12,0,45.98,2.938,135.6270013,8.237,2010,3,10,1775216.2019580419,46.53798956455062
31,2010-03-12,1366193.35,0,57.1,2.667,211.037551,8.324,2010,3,10,1395901.437062937,-1.3486575001152912
16,2010-03-12,445393.74,0,28.64,2.684,189.7372075,7.039,2010,3,10,519247.7300699301,0.27283645200721907
42,2010-03-12,588363.62,0,52.33,3.034,126.6042857,9.765,2010,3,10,556403.863146853,6.0167314260409555
43,2010-03-12,645386.94,0,53.67,2.667,203.3436582,9.521,2010,3,10,633324.7231468532,-2.006241876234305
